Doc ID,D1,Sim1,D2,Sim2,D3,Sim3,D4,Sim4
1,3,0.47734734548163976,2,0.43235387146640303,4,0.22190239425162203,5,0.1562594961193667
2,1,0.43235387146640303,3,0.19838342966349704,5,0.1173524373269796,6,0.08673414202326278
3,1,0.47734734548163976,2,0.19838342966349704,4,0.19084482805848196,5,0.09978136558842383
4,1,0.22190239425162203,3,0.19084482805848196,2,0.08535235635115843,5,0.06402953246776674
5,1,0.1562594961193667,2,0.1173524373269796,3,0.09978136558842383,4,0.06402953246776674
6,10,0.3824224579726669,7,0.3819397574487475,8,0.3351250140362158,9,0.1325363633876899
7,10,0.9994910851215606,8,0.43557742805956423,6,0.3819397574487475,9,0.3465957320082662
8,10,0.43684913871028885,7,0.43557742805956423,6,0.3351250140362158,9,0.3038247421662769
9,10,0.35241507456206045,7,0.3465957320082662,8,0.3038247421662769,6,0.1325363633876899
10,7,0.9994910851215606,8,0.43684913871028885,6,0.3824224579726669,9,0.35241507456206045
